age,experience,income,family,mortgage,personal_loan,creditcard,loan_delinquency,non_valid_passport,undergraduate_edu,graduate_edu,advance_edu
22,1,348,3,0,0,0,0,0,1,0,0
34,19,191,3,0,0,0,0,0,0,0,1
54,15,313,5,0,0,1,0,0,0,1,0
58,9,193,4,0,0,0,0,0,0,1,0
39,8,42,3,0,0,0,0,0,0,0,1
26,13,197,5,1550,0,0,0,0,1,0,0
58,27,320,1,0,0,0,0,0,1,0,0
62,24,350,5,0,0,0,0,0,1,0,0
30,10,35,2,1040,0,0,0,0,0,0,1
62,9,209,4,0,1,0,0,0,0,0,1
62,39,314,1,0,0,1,0,0,1,0,0
28,5,312,2,0,0,0,0,0,0,0,1
43,23,270,4,0,0,0,0,0,0,1,0
21,32,123,2,0,0,0,0,0,0,1,0
52,41,305,3,0,0,0,0,0,1,0,0
59,30,54,3,0,0,0,0,0,0,1,0
20,14,119,3,1340,1,0,0,0,0,0,1
50,18,336,5,0,0,0,0,0,0,0,1
43,21,228,2,0,1,0,0,0,0,0,1
61,28,113,1,0,0,0,0,0,1,0,0
64,31,197,3,1110,0,0,0,0,0,0,1
26,27,209,3,0,0,0,1,0,1,0,0
60,5,31,2,2600,0,0,0,0,0,0,1
33,18,309,2,1630,0,1,0,0,0,1,0
23,11,233,2,1590,0,0,1,0,1,0,0
24,19,100,2,970,0,0,0,0,0,1,0
25,16,87,3,0,0,0,0,0,0,1,0
35,20,67,3,0,0,0,0,0,1,0,0
35,30,17,4,0,0,0,0,0,1,0,0
20,13,249,1,0,1,0,0,0,0,0,1
61,35,251,5,1220,0,1,0,0,1,0,0
59,16,48,5,0,0,0,0,0,0,1,0
47,28,333,4,1930,0,0,0,0,1,0,0
30,6,183,4,0,0,1,0,0,1,0,0
51,5,14,5,0,0,0,1,0,1,0,0
49,24,118,4,0,0,0,0,0,0,1,0
54,35,283,4,0,0,0,0,0,0,1,0
37,25,326,5,1980,0,0,0,0,0,1,0
29,18,33,5,0,1,0,0,0,1,0,0
